epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
22,2020-05-28,25,AM,Alvarães,1300029,city,107,667.04071,0,6,0,0.0561,16041,False,True
22,2020-05-28,35,AM,Amaturá,1300060,city,231,2002.42718,0,6,0,0.026,11536,False,True
22,2020-05-28,45,AM,Anamã,1300086,city,152,1116.49772,0,0,0,0.0,13614,False,True
22,2020-05-28,61,AM,Anori,1300102,city,299,1423.13184,0,3,0,0.01,21010,False,True
22,2020-05-28,21,AM,Apuí,1300144,city,24,109.22496,0,0,0,0.0,21973,False,True
22,2020-05-28,29,AM,Atalaia do Norte,1300201,city,6,30.11897,0,0,0,0.0,19921,False,True
22,2020-05-28,39,AM,Autazes,1300300,city,484,1223.30342,0,22,0,0.0455,39565,False,True
22,2020-05-28,37,AM,Barcelos,1300409,city,355,1290.81521,0,11,0,0.031,27502,False,True
22,2020-05-28,27,AM,Barreirinha,1300508,city,224,699.10427,0,3,0,0.0134,32041,False,True
22,2020-05-28,37,AM,Benjamin Constant,1300607,city,761,1770.42621,0,18,0,0.0237,42984,False,True
22,2020-05-28,38,AM,Beruri,1300631,city,187,950.25154,0,5,0,0.0267,19679,False,True
22,2020-05-28,26,AM,Boa Vista do Ramos,1300680,city,57,296.7668,0,1,0,0.0175,19207,False,True
22,2020-05-28,64,AM,Boca do Acre,1300706,city,326,950.21569,0,5,0,0.0153,34308,False,True
22,2020-05-28,32,AM,Borba,1300805,city,186,451.88407,0,11,0,0.0591,41161,False,True
22,2020-05-28,35,AM,Caapiranga,1300839,city,75,573.35066,0,2,0,0.0267,13081,False,True
22,2020-05-28,40,AM,Canutama,1300904,city,26,166.35741,0,0,0,0.0,15629,False,True
22,2020-05-28,43,AM,Carauari,1301001,city,204,721.00092,0,2,0,0.0098,28294,False,True
22,2020-05-28,48,AM,Careiro,1301100,city,570,1505.18894,0,11,0,0.0193,37869,False,True
22,2020-05-28,59,AM,Careiro da Várzea,1301159,city,47,155.50041,0,1,0,0.0213,30225,False,True
